shortname,ra,dec,spt,B,G,H,J,K,V
TYC 4014-1686-1,0.0577607569922,61.0798196258021,A0V,10.15999984741211,9.721799850463867,8.925999641418457,9.015000343322754,8.831000328063965,9.800000190734863
HD 224820,0.2305762909172,-30.0641676163352,A0V,8.430000305175781,8.403900146484375,8.40999984741211,8.343000411987305,8.359999656677246,8.40999984741211
HD 224954,0.5117916610461,-69.2691957857437,B9V,8.619999885559082,8.662699699401855,8.736000061035156,8.710000038146973,8.753999710083008,8.65999984741211
HD 225047,0.7301134040132,-30.1497735039898,A0V,8.449999809265137,8.415300369262695,8.428000450134277,8.376999855041504,8.427000045776367,8.420000076293945
HD 225077,0.8030588005027,-31.2123837552094,A0V,8.930000305175781,8.861900329589844,8.723999977111816,8.704999923706055,8.65999984741211,8.880000114440918
HD 225203,1.0688178468561,-59.3151916662117,A1V,8.609999656677246,8.543800354003906,8.479999542236328,8.494000434875488,8.442999839782715,8.5600004196167
HD 225200,1.0846553906281,-29.2688233161899,A1V,6.400000095367432,6.355800151824951,6.251999855041504,6.2769999504089355,6.258999824523926,6.389999866485596
HD     31,1.3334106192097,-21.3153408068381,B9V,8.319999694824219,8.361100196838379,8.545999526977539,8.446999549865723,8.503999710083008,8.380000114440918
HD    141,1.5378198937792,-29.1513846421926,B9V,7.880000114440918,7.892899990081787,8.005999565124512,7.956999778747559,7.997000217437744,7.920000076293945
BD+61  2594,1.7728624958784,62.3927312729427,A0V,9.670000076293945,9.465200424194336,9.036999702453613,9.064000129699707,8.968000411987305,9.479999542236328
HD    235,1.7825312486467,-30.5615690826967,A1V,8.720000267028809,8.650899887084961,8.559000015258789,8.538000106811523,8.538000106811523,8.65999984741211
BD+62    15,2.9060609304954,63.4431349089612,A0V,9.359999656677246,9.170299530029297,8.937000274658203,8.902000427246094,8.899999618530273,9.199999809265137
HD    822,3.1531656039442,-13.6101550630448,A1V,8.170000076293945,8.13379955291748,8.045000076293945,8.059000015258789,8.052000045776367,8.140000343322754
HD    952,3.5094934774041002,33.2060407264702,A1V,6.239999771118164,6.202700138092041,6.218999862670898,6.185999870300293,6.189000129699707,6.25
HD   1154,3.9538831810566,-11.9901830018865,A0V,8.970000267028809,8.880399703979492,8.718999862670898,8.701000213623047,8.6899995803833,8.880000114440918
HD   1160,3.9887583660599994,4.2511124866075,A0V,7.158999919891357,7.107399940490723,7.013000011444092,6.982999801635742,7.039999961853027,7.11899995803833
HD   1287,4.3280600783082,62.825871339525,A0V,8.65999984741211,8.534700393676758,8.326000213623047,8.317000389099121,8.326000213623047,8.600000381469727
V* TV Cas,4.8280934126732,59.1390394284747,B9V,7.289999961853027,7.198500156402588,6.830999851226807,6.900000095367432,6.7870001792907715,7.21999979019165
* pi. Tuc,5.162676788922,-69.6249181493149,B9V,5.449999809265137,5.476099967956543,5.565000057220459,5.535999774932861,5.497000217437744,5.499000072479248
HD   1777,5.3893028566226,-66.3045767523395,A0V,7.369999885559082,7.3480000495910645,7.394999980926514,7.364999771118164,7.394999980926514,7.360000133514404
HD   1916,5.4172893842215,-83.7434716927055,A0V,9.260000228881836,9.104399681091309,8.829000473022461,8.812999725341797,8.78600025177002,9.119999885559082
HD   1860,5.6423879858988,-61.0348327712616,A0V,7.320000171661377,7.287399768829346,7.317999839782715,7.251999855041504,7.24399995803833,7.289999961853027
HD   1978,5.999271073376,-3.4752928868035,A1V,7.5,7.388599872589111,7.070000171661377,7.119999885559082,7.040999889373779,7.400000095367432
HD   1939,6.0731243089175,64.3001847424138,B9V,8.819999694824219,8.521400451660156,7.982999801635742,7.989999771118164,7.941999912261963,8.609999656677246
HD   2026,6.077814645131,-28.980637310053,A1V,8.260000228881836,8.099699974060059,7.933000087738037,7.889999866485596,7.85099983215332,8.119999885559082
HD   2193,6.4884763477314,1.9498188154272,A1V,8.59000015258789,8.501500129699707,8.340999603271484,8.312000274658203,8.276000022888184,8.479999542236328
HD   2244,6.6644502320644,56.6412015942193,B9V,6.590000152587891,6.561299800872803,6.519999980926514,6.480000019073486,6.520999908447266,6.579999923706055
